ticket_id,customer_id,ticket_type,message,sentiment,status,created_at
TICK-000017,CUST-00258,escalation,"I'm not satisfied with the previous response, please escalate.",negative,open,2025-05-17T20:00:00
TICK-000018,CUST-00446,policy_question,Is expedited shipping refundable if the delivery is late anyway?,neutral,resolved,2025-01-02T23:00:00
TICK-000019,CUST-00513,return_request,"Requesting a return on ORD-007962, the item doesn't match the listing photos.",neutral,open,2025-06-02T20:00:00
TICK-000020,CUST-00157,policy_question,Do premium members get extended return windows?,neutral,open,2025-01-01T19:00:00
TICK-000021,CUST-00115,policy_question,What is your refund policy for items damaged in shipping?,neutral,resolved,2025-05-03T01:00:00
TICK-000022,CUST-00970,order_inquiry,Is there a delay on my shipment? It's been quiet since it left the facility.,neutral,open,2025-09-06T02:00:00
TICK-000023,CUST-00785,escalation,"I'm not satisfied with the previous response, please escalate.",negative,open,2025-09-01T17:00:00
TICK-000024,CUST-00622,order_inquiry,Checking in on ORD-007147 — no movement on tracking for almost a week.,neutral,open,2025-04-13T22:00:00
TICK-000025,CUST-00449,policy_question,What's the process for a refund on a final-sale item that arrived broken?,neutral,open,2025-05-07T07:00:00
TICK-000026,CUST-00568,order_inquiry,My package was supposed to arrive 14 days ago and I still haven't received it.,neutral,open,2025-01-04T02:00:00
TICK-000027,CUST-00235,retention_risk,"This is the third time an order has been late, I'm thinking about cancelling my account.",negative,open,2025-06-19T02:00:00
TICK-000028,CUST-00686,policy_question,Is expedited shipping refundable if the delivery is late anyway?,neutral,open,2025-03-09T23:00:00
TICK-000029,CUST-00591,escalation,"I'm not satisfied with the previous response, please escalate.",very_negative,open,2025-08-31T13:00:00
TICK-000030,CUST-00675,order_inquiry,Tracking says shipped but there hasn't been an update in four days.,neutral,resolved,2025-08-05T13:00:00
TICK-000031,CUST-00690,policy_question,What is your refund policy for items damaged in shipping?,neutral,open,2025-07-26T23:00:00
TICK-000032,CUST-00197,policy_question,"My order arrived 5 days ago but it's damaged, can I still get a refund?",neutral,resolved,2025-03-13T13:00:00
TICK-000033,CUST-00256,order_inquiry,The courier app says delivered but nothing showed up at my door.,neutral,resolved,2025-02-20T01:00:00
TICK-000034,CUST-00857,retention_risk,"Every order this month has had some issue, what's going on?",negative,open,2025-05-02T05:00:00
TICK-000035,CUST-00219,policy_question,What counts as eligible for a late-delivery refund?,neutral,open,2025-03-26T12:00:00
TICK-000036,CUST-00272,order_inquiry,"I never got a shipping confirmation email, did my order actually go through?",neutral,resolved,2025-08-05T22:00:00
TICK-000037,CUST-00570,escalation,I've been patient but this needs to go to someone higher up now.,very_negative,open,2025-04-08T09:00:00
TICK-000038,CUST-00754,order_inquiry,My package was supposed to arrive 14 days ago and I still haven't received it.,negative,open,2025-06-10T01:00:00
TICK-000039,CUST-00515,order_inquiry,The courier app says delivered but nothing showed up at my door.,negative,open,2025-01-30T16:00:00
TICK-000040,CUST-00610,order_inquiry,Can someone tell me what's happening with order ORD-000562?,neutral,open,2025-07-26T03:00:00
TICK-000041,CUST-00253,escalation,"I'm not satisfied with the previous response, please escalate.",negative,open,2025-08-03T21:00:00
TICK-000042,CUST-00324,retention_risk,"Every order this month has had some issue, what's going on?",very_negative,open,2025-06-10T07:00:00
TICK-000043,CUST-00661,order_inquiry,Can someone tell me what's happening with order ORD-005503?,neutral,resolved,2025-06-11T02:00:00
TICK-000044,CUST-00577,order_inquiry,Is there a delay on my shipment? It's been quiet since it left the facility.,neutral,open,2025-04-20T16:00:00
TICK-000045,CUST-00071,order_inquiry,Where is order ORD-007217? It's later than the estimate I was given.,neutral,resolved,2025-05-26T05:00:00
TICK-000046,CUST-00721,policy_question,Are digital or downloadable products ever returnable?,neutral,open,2025-06-03T21:00:00
TICK-000047,CUST-00119,order_inquiry,Can someone tell me what's happening with order ORD-002167?,neutral,open,2025-05-20T09:00:00
TICK-000048,CUST-00209,retention_risk,"Between the delays and the return hassle, I'm reconsidering my subscription.",very_negative,resolved,2025-05-09T01:00:00
TICK-000049,CUST-00850,order_inquiry,"I never got a shipping confirmation email, did my order actually go through?",neutral,open,2025-01-02T10:00:00
TICK-000050,CUST-00760,return_request,"Requesting a return on ORD-001324, the item doesn't match the listing photos.",negative,resolved,2025-01-05T03:00:00
TICK-000051,CUST-00559,order_inquiry,"Order ORD-007405 shows 'processing' for 4 days now, is that normal?",neutral,resolved,2025-03-17T13:00:00
TICK-000052,CUST-00374,order_inquiry,The tracking page hasn't changed since it left the warehouse.,neutral,resolved,2025-04-18T21:00:00
TICK-000053,CUST-00363,order_inquiry,Tracking says shipped but there hasn't been an update in four days.,negative,resolved,2025-03-21T07:00:00
TICK-000054,CUST-00026,return_request,"I'd like to send this back, it's been 8 days since delivery, is that still within the window?",neutral,resolved,2025-07-30T21:00:00
TICK-000055,CUST-00274,return_request,"Wrong size arrived, can I exchange it instead of a full return?",neutral,open,2025-07-15T01:00:00
TICK-000056,CUST-00205,return_request,"Wrong size arrived, can I exchange it instead of a full return?",negative,resolved,2025-06-06T07:00:00
TICK-000057,CUST-00198,order_inquiry,My delivery window passed yesterday and there's no update.,neutral,resolved,2025-05-23T02:00:00
TICK-000058,CUST-00360,escalation,I want to speak to someone who can actually make a decision on this.,very_negative,resolved,2025-01-15T03:00:00
TICK-000059,CUST-00595,return_request,"Requesting a return on ORD-001463, the item doesn't match the listing photos.",negative,open,2025-02-25T19:00:00
TICK-000060,CUST-00447,policy_question,What's the process for a refund on a final-sale item that arrived broken?,neutral,resolved,2025-04-08T08:00:00
TICK-000061,CUST-00002,order_inquiry,"I never got a shipping confirmation email, did my order actually go through?",negative,open,2025-07-06T13:00:00
TICK-000062,CUST-00943,order_inquiry,My delivery window passed yesterday and there's no update.,neutral,resolved,2025-03-05T23:00:00
TICK-000063,CUST-00317,escalation,"I'm not satisfied with the previous response, please escalate.",very_negative,resolved,2025-07-26T22:00:00
TICK-000064,CUST-00431,order_inquiry,Can someone tell me what's happening with order ORD-001572?,negative,resolved,2025-03-31T19:00:00
TICK-000065,CUST-00562,retention_risk,This is becoming a pattern and I don't think I want to keep ordering here.,negative,resolved,2025-05-27T06:00:00
TICK-000066,CUST-00622,policy_question,How long does a refund actually take to process once approved?,neutral,resolved,2025-08-15T14:00:00
TICK-000067,CUST-00485,retention_risk,"Every order this month has had some issue, what's going on?",negative,open,2025-05-26T16:00:00
TICK-000068,CUST-00344,retention_risk,"Thinking about closing my account, can you give me a reason not to?",negative,open,2025-06-08T07:00:00
TICK-000069,CUST-00048,return_request,"I'd like to send this back, it's been 2 days since delivery, is that still within the window?",neutral,resolved,2025-02-07T14:00:00
TICK-000070,CUST-00200,policy_question,How long does a refund actually take to process once approved?,neutral,resolved,2025-07-24T07:00:00
TICK-000071,CUST-00798,order_inquiry,"Order ORD-000046 shows 'processing' for 3 days now, is that normal?",neutral,open,2025-04-01T22:00:00
TICK-000072,CUST-00571,policy_question,What is your refund policy for items damaged in shipping?,neutral,open,2025-08-22T04:00:00
TICK-000073,CUST-00573,return_request,"I ordered the wrong color by mistake, is exchange possible at this point?",negative,resolved,2025-09-16T13:00:00
TICK-000074,CUST-00457,return_request,"I ordered the wrong color by mistake, is exchange possible at this point?",neutral,resolved,2025-08-19T08:00:00
TICK-000075,CUST-00797,return_request,"Requesting a return on ORD-006274, the item doesn't match the listing photos.",negative,open,2025-05-21T14:00:00
TICK-000076,CUST-00241,order_inquiry,The tracking page hasn't changed since it left the warehouse.,neutral,resolved,2025-06-13T17:00:00
TICK-000077,CUST-00393,order_inquiry,Can someone tell me what's happening with order ORD-001895?,negative,open,2025-04-20T02:00:00
TICK-000078,CUST-00556,policy_question,What's the process for a refund on a final-sale item that arrived broken?,neutral,resolved,2025-02-01T06:00:00
TICK-000079,CUST-00927,return_request,Can I get a prepaid return label for this order?,neutral,resolved,2025-09-02T00:00:00
TICK-000080,CUST-00772,escalation,I want to speak to someone who can actually make a decision on this.,very_negative,resolved,2025-04-23T15:00:00
TICK-000081,CUST-00498,order_inquiry,"I never got a shipping confirmation email, did my order actually go through?",neutral,resolved,2025-06-22T21:00:00
TICK-000082,CUST-00742,retention_risk,This is becoming a pattern and I don't think I want to keep ordering here.,negative,resolved,2025-03-07T19:00:00
TICK-000083,CUST-00607,policy_question,Can I return an item I opened but didn't use?,neutral,open,2025-08-08T04:00:00
TICK-000084,CUST-00267,return_request,"I'd like to send this back, it's been 2 days since delivery, is that still within the window?",negative,resolved,2025-04-19T14:00:00
TICK-000085,CUST-00285,policy_question,Can I return an item I opened but didn't use?,neutral,resolved,2025-02-11T15:00:00
TICK-000086,CUST-00975,order_inquiry,Checking in on ORD-000427 — no movement on tracking for almost a week.,neutral,open,2025-02-05T20:00:00
TICK-000087,CUST-00205,order_inquiry,My package was supposed to arrive 5 days ago and I still haven't received it.,neutral,open,2025-05-03T04:00:00
TICK-000088,CUST-00971,policy_question,"My order arrived 14 days ago but it's damaged, can I still get a refund?",neutral,resolved,2025-05-12T11:00:00
TICK-000089,CUST-00987,order_inquiry,Is there a delay on my shipment? It's been quiet since it left the facility.,negative,open,2025-03-25T09:00:00
TICK-000090,CUST-00590,order_inquiry,My package was supposed to arrive 6 days ago and I still haven't received it.,negative,resolved,2025-07-23T22:00:00
TICK-000091,CUST-00708,order_inquiry,Is there a delay on my shipment? It's been quiet since it left the facility.,negative,open,2025-02-22T22:00:00
TICK-000092,CUST-00825,return_request,"This isn't what was pictured on the product page, requesting a return.",neutral,open,2025-06-27T17:00:00
TICK-000093,CUST-00071,policy_question,What's the process for a refund on a final-sale item that arrived broken?,neutral,open,2025-08-04T15:00:00
TICK-000094,CUST-00913,order_inquiry,Where is order ORD-005207? It's later than the estimate I was given.,neutral,open,2025-08-11T05:00:00
TICK-000095,CUST-00828,return_request,"Requesting a return on ORD-005046, the item doesn't match the listing photos.",negative,resolved,2025-08-12T23:00:00
TICK-000096,CUST-00873,retention_risk,"Between the delays and the return hassle, I'm reconsidering my subscription.",negative,open,2025-05-23T14:00:00
TICK-000097,CUST-00584,order_inquiry,The courier app says delivered but nothing showed up at my door.,negative,resolved,2025-06-22T00:00:00
TICK-000098,CUST-00187,policy_question,What's the process for a refund on a final-sale item that arrived broken?,neutral,open,2025-07-01T08:00:00
TICK-000099,CUST-00719,policy_question,How long does a refund actually take to process once approved?,neutral,open,2025-04-08T02:00:00
TICK-000100,CUST-00501,order_inquiry,"I never got a shipping confirmation email, did my order actually go through?",negative,open,2025-09-01T20:00:00
TICK-000101,CUST-00812,retention_risk,"I'm one bad experience away from cancelling, just being honest.",negative,open,2025-05-31T07:00:00
TICK-000102,CUST-00314,policy_question,Do premium members get extended return windows?,neutral,resolved,2025-06-26T13:00:00
TICK-000103,CUST-00339,escalation,"I'm not satisfied with the previous response, please escalate.",very_negative,resolved,2025-05-19T09:00:00
TICK-000104,CUST-00739,order_inquiry,Tracking says shipped but there hasn't been an update in four days.,neutral,resolved,2025-03-03T23:00:00
TICK-000105,CUST-00197,policy_question,How long do I have to return an item after delivery?,neutral,resolved,2025-05-22T23:00:00
TICK-000106,CUST-00612,retention_risk,"Every order this month has had some issue, what's going on?",very_negative,open,2025-04-10T09:00:00
TICK-000107,CUST-00015,order_inquiry,Can someone tell me what's happening with order ORD-002477?,negative,open,2025-05-21T01:00:00
TICK-000108,CUST-00300,escalation,"I'm not satisfied with the previous response, please escalate.",negative,resolved,2025-02-22T00:00:00
TICK-000109,CUST-00491,retention_risk,"I'm one bad experience away from cancelling, just being honest.",very_negative,resolved,2025-04-05T01:00:00
TICK-000110,CUST-00117,order_inquiry,The courier app says delivered but nothing showed up at my door.,neutral,resolved,2025-09-09T02:00:00
TICK-000111,CUST-00156,retention_risk,"This is the third time an order has been late, I'm thinking about cancelling my account.",negative,resolved,2025-02-13T07:00:00
TICK-000112,CUST-00621,order_inquiry,"I never got a shipping confirmation email, did my order actually go through?",negative,open,2025-07-14T14:00:00
TICK-000113,CUST-00881,escalation,I want to speak to someone who can actually make a decision on this.,very_negative,resolved,2025-01-31T19:00:00
TICK-000114,CUST-00971,escalation,"I've contacted support three times about this and nobody has resolved it, I need a manager.",negative,open,2025-05-16T21:00:00
TICK-000115,CUST-00566,order_inquiry,I placed this order almost 4 days ago. Is it still in transit?,neutral,open,2025-01-02T13:00:00
TICK-000116,CUST-00482,policy_question,How long does a refund actually take to process once approved?,neutral,open,2025-04-29T09:00:00
TICK-000117,CUST-00073,retention_risk,"I'm one bad experience away from cancelling, just being honest.",negative,resolved,2025-04-12T13:00:00
TICK-000118,CUST-00931,order_inquiry,I placed this order almost 4 days ago. Is it still in transit?,neutral,open,2025-02-06T01:00:00
TICK-000119,CUST-00610,order_inquiry,The tracking page hasn't changed since it left the warehouse.,negative,resolved,2025-08-13T03:00:00
TICK-000120,CUST-00717,policy_question,Is expedited shipping refundable if the delivery is late anyway?,neutral,resolved,2025-09-14T17:00:00
TICK-000121,CUST-00041,policy_question,"My order arrived 14 days ago but it's damaged, can I still get a refund?",neutral,resolved,2025-05-09T00:00:00
TICK-000122,CUST-00857,order_inquiry,My delivery window passed yesterday and there's no update.,negative,open,2025-05-18T18:00:00
TICK-000123,CUST-00532,order_inquiry,Can someone tell me what's happening with order ORD-003855?,negative,resolved,2025-05-23T05:00:00
TICK-000124,CUST-00651,escalation,"This has gone on too long, please escalate this to a supervisor.",very_negative,open,2025-08-29T11:00:00
TICK-000125,CUST-00687,policy_question,What's the process for a refund on a final-sale item that arrived broken?,neutral,open,2025-06-18T13:00:00
TICK-000126,CUST-00679,retention_risk,Not sure it's worth staying a member if service keeps slipping like this.,very_negative,open,2025-08-21T02:00:00
TICK-000127,CUST-00119,policy_question,What's the process for a refund on a final-sale item that arrived broken?,neutral,open,2025-08-25T13:00:00
TICK-000128,CUST-00638,order_inquiry,Checking in on ORD-002964 — no movement on tracking for almost a week.,neutral,resolved,2025-01-27T06:00:00
TICK-000129,CUST-00295,order_inquiry,Can someone tell me what's happening with order ORD-007600?,neutral,resolved,2025-03-04T00:00:00
TICK-000130,CUST-00819,escalation,"I'm not satisfied with the previous response, please escalate.",negative,open,2025-06-09T17:00:00
TICK-000131,CUST-00096,order_inquiry,"I never got a shipping confirmation email, did my order actually go through?",neutral,open,2025-08-25T03:00:00
TICK-000132,CUST-00956,retention_risk,If order ORD-004083 is late again I'm done ordering from here.,very_negative,resolved,2025-08-01T15:00:00
TICK-000133,CUST-00565,escalation,"This is regarding order ORD-003742, I've been going back and forth for a week with no resolution.",negative,resolved,2025-04-08T19:00:00
TICK-000134,CUST-00885,policy_question,How long do I have to return an item after delivery?,neutral,resolved,2025-08-01T10:00:00
TICK-000135,CUST-00274,escalation,"I'm not satisfied with the previous response, please escalate.",negative,resolved,2025-06-02T18:00:00
TICK-000136,CUST-00887,retention_risk,"I'm one bad experience away from cancelling, just being honest.",negative,resolved,2025-09-05T11:00:00
TICK-000137,CUST-00387,policy_question,Are digital or downloadable products ever returnable?,neutral,resolved,2025-04-07T22:00:00
TICK-000138,CUST-00240,order_inquiry,"I never got a shipping confirmation email, did my order actually go through?",neutral,open,2025-06-12T23:00:00
TICK-000139,CUST-00396,policy_question,Can I return an item I opened but didn't use?,neutral,resolved,2025-01-19T04:00:00
TICK-000140,CUST-00340,policy_question,How long does a refund actually take to process once approved?,neutral,resolved,2025-02-21T16:00:00
TICK-000141,CUST-00740,escalation,"I've contacted support three times about this and nobody has resolved it, I need a manager.",negative,resolved,2025-03-21T02:00:00
TICK-000142,CUST-00347,policy_question,Is expedited shipping refundable if the delivery is late anyway?,neutral,open,2025-06-18T21:00:00
TICK-000143,CUST-00978,return_request,Can I get a prepaid return label for this order?,negative,resolved,2025-01-19T19:00:00
TICK-000144,CUST-00701,order_inquiry,My delivery window passed yesterday and there's no update.,neutral,open,2025-02-16T13:00:00
TICK-000145,CUST-00649,escalation,I've been patient but this needs to go to someone higher up now.,negative,resolved,2025-03-27T22:00:00
TICK-000146,CUST-00333,order_inquiry,My package was supposed to arrive 2 days ago and I still haven't received it.,neutral,resolved,2025-07-03T11:00:00
TICK-000147,CUST-00544,policy_question,Do premium members get extended return windows?,neutral,open,2025-03-29T05:00:00
TICK-000148,CUST-00635,order_inquiry,"I never got a shipping confirmation email, did my order actually go through?",negative,open,2025-09-12T18:00:00
TICK-000149,CUST-00654,order_inquiry,The courier app says delivered but nothing showed up at my door.,neutral,resolved,2025-05-11T21:00:00
TICK-000150,CUST-00923,order_inquiry,The courier app says delivered but nothing showed up at my door.,neutral,open,2025-02-07T14:00:00
TICK-000151,CUST-00307,escalation,"I'm not satisfied with the previous response, please escalate.",very_negative,resolved,2025-08-22T09:00:00
TICK-000152,CUST-00874,order_inquiry,"I never got a shipping confirmation email, did my order actually go through?",neutral,open,2025-05-02T12:00:00
TICK-000153,CUST-00303,retention_risk,"Thinking about closing my account, can you give me a reason not to?",very_negative,open,2025-07-22T08:00:00
TICK-000154,CUST-00797,order_inquiry,My delivery window passed yesterday and there's no update.,negative,open,2025-09-12T09:00:00
TICK-000155,CUST-00622,return_request,"Wrong size arrived, can I exchange it instead of a full return?",negative,open,2025-04-08T19:00:00
TICK-000156,CUST-00644,order_inquiry,"Order ORD-006288 shows 'processing' for 4 days now, is that normal?",neutral,open,2025-06-08T14:00:00
TICK-000157,CUST-00135,order_inquiry,Where is order ORD-006000? It's later than the estimate I was given.,neutral,resolved,2025-06-17T23:00:00
TICK-000158,CUST-00136,policy_question,Do premium members get extended return windows?,neutral,resolved,2025-03-26T08:00:00
TICK-000159,CUST-00991,escalation,"This has gone on too long, please escalate this to a supervisor.",very_negative,resolved,2025-02-28T14:00:00
TICK-000160,CUST-00990,escalation,"This is regarding order ORD-006179, I've been going back and forth for a week with no resolution.",negative,resolved,2025-07-07T02:00:00
TICK-000161,CUST-00550,return_request,"The item I got in order ORD-002167 isn't what I ordered, I need a replacement or refund.",neutral,resolved,2025-07-08T21:00:00
TICK-000162,CUST-00391,return_request,"Requesting a return on ORD-004789, the item doesn't match the listing photos.",negative,open,2025-04-30T15:00:00
TICK-000163,CUST-00938,order_inquiry,Checking in on ORD-002688 — no movement on tracking for almost a week.,negative,open,2025-02-02T20:00:00
TICK-000164,CUST-00419,return_request,"Requesting a return on ORD-005319, the item doesn't match the listing photos.",neutral,open,2025-01-24T01:00:00
TICK-000165,CUST-00119,policy_question,What counts as eligible for a late-delivery refund?,neutral,open,2025-03-11T12:00:00
TICK-000166,CUST-00430,policy_question,Are digital or downloadable products ever returnable?,neutral,resolved,2025-02-20T15:00:00
TICK-000167,CUST-00034,retention_risk,Not sure it's worth staying a member if service keeps slipping like this.,very_negative,open,2025-08-16T14:00:00
TICK-000168,CUST-00372,escalation,I've been patient but this needs to go to someone higher up now.,negative,resolved,2025-07-03T01:00:00
TICK-000169,CUST-00992,policy_question,Do premium members get extended return windows?,neutral,resolved,2025-02-16T21:00:00
TICK-000170,CUST-00612,order_inquiry,My delivery window passed yesterday and there's no update.,neutral,open,2025-06-20T07:00:00
TICK-000171,CUST-00579,escalation,I've been patient but this needs to go to someone higher up now.,negative,open,2025-04-17T18:00:00
TICK-000172,CUST-00793,order_inquiry,I placed this order almost 7 days ago. Is it still in transit?,neutral,open,2025-05-22T04:00:00
TICK-000173,CUST-00257,escalation,"I'm not satisfied with the previous response, please escalate.",negative,open,2025-01-14T04:00:00
TICK-000174,CUST-00332,order_inquiry,I placed this order almost 14 days ago. Is it still in transit?,neutral,open,2025-05-16T01:00:00
TICK-000175,CUST-00539,order_inquiry,"I never got a shipping confirmation email, did my order actually go through?",neutral,open,2025-09-01T14:00:00
TICK-000176,CUST-00608,return_request,"I ordered the wrong color by mistake, is exchange possible at this point?",neutral,resolved,2025-09-15T07:00:00
TICK-000177,CUST-00745,escalation,"I've contacted support three times about this and nobody has resolved it, I need a manager.",very_negative,resolved,2025-01-16T01:00:00
TICK-000178,CUST-00412,escalation,I've been patient but this needs to go to someone higher up now.,very_negative,open,2025-09-09T22:00:00
TICK-000179,CUST-00921,escalation,"I've contacted support three times about this and nobody has resolved it, I need a manager.",negative,resolved,2025-03-17T02:00:00
TICK-000180,CUST-00649,order_inquiry,Is there a delay on my shipment? It's been quiet since it left the facility.,negative,resolved,2025-07-15T19:00:00
TICK-000181,CUST-00518,policy_question,What counts as eligible for a late-delivery refund?,neutral,open,2025-02-28T20:00:00
TICK-000182,CUST-00739,retention_risk,"Every order this month has had some issue, what's going on?",negative,resolved,2025-08-20T07:00:00
TICK-000183,CUST-00409,policy_question,What counts as eligible for a late-delivery refund?,neutral,open,2025-06-10T13:00:00
TICK-000184,CUST-00384,policy_question,Is expedited shipping refundable if the delivery is late anyway?,neutral,resolved,2025-02-04T02:00:00
TICK-000185,CUST-00443,return_request,"This arrived damaged, the box was crushed and the product inside is cracked.",neutral,resolved,2025-03-08T17:00:00
TICK-000186,CUST-00338,order_inquiry,Checking in on ORD-004602 — no movement on tracking for almost a week.,negative,open,2025-07-30T11:00:00
TICK-000187,CUST-00889,return_request,Can I get a prepaid return label for this order?,neutral,resolved,2025-06-09T11:00:00
TICK-000188,CUST-00159,order_inquiry,Checking in on ORD-001743 — no movement on tracking for almost a week.,negative,resolved,2025-04-25T03:00:00
TICK-000189,CUST-00377,policy_question,Are digital or downloadable products ever returnable?,neutral,resolved,2025-04-26T13:00:00
TICK-000190,CUST-00629,return_request,"This isn't what was pictured on the product page, requesting a return.",neutral,resolved,2025-01-15T05:00:00
TICK-000191,CUST-00944,order_inquiry,The tracking page hasn't changed since it left the warehouse.,neutral,resolved,2025-01-04T05:00:00
TICK-000192,CUST-00674,return_request,"This isn't what was pictured on the product page, requesting a return.",negative,open,2025-03-14T23:00:00
TICK-000193,CUST-00094,retention_risk,"This is the third time an order has been late, I'm thinking about cancelling my account.",negative,resolved,2025-08-03T14:00:00
TICK-000194,CUST-00320,policy_question,What's the process for a refund on a final-sale item that arrived broken?,neutral,open,2025-01-27T04:00:00
TICK-000195,CUST-00051,order_inquiry,Is there a delay on my shipment? It's been quiet since it left the facility.,negative,open,2025-05-20T14:00:00
TICK-000196,CUST-00622,retention_risk,"I'm one bad experience away from cancelling, just being honest.",very_negative,resolved,2025-05-20T06:00:00
TICK-000197,CUST-00354,return_request,"This arrived damaged, the box was crushed and the product inside is cracked.",negative,open,2025-05-26T21:00:00
TICK-000198,CUST-00540,retention_risk,"I'm one bad experience away from cancelling, just being honest.",very_negative,open,2025-04-23T12:00:00
TICK-000199,CUST-00008,escalation,"I've contacted support three times about this and nobody has resolved it, I need a manager.",negative,resolved,2025-04-19T04:00:00
TICK-000200,CUST-00123,return_request,"Requesting a return on ORD-002688, the item doesn't match the listing photos.",neutral,resolved,2025-08-09T05:00:00
TICK-000201,CUST-00236,order_inquiry,Checking in on ORD-005765 — no movement on tracking for almost a week.,negative,resolved,2025-02-06T12:00:00
TICK-000202,CUST-00020,return_request,"The item I got in order ORD-003574 isn't what I ordered, I need a replacement or refund.",negative,open,2025-06-10T18:00:00
TICK-000203,CUST-00727,policy_question,Can I return an item I opened but didn't use?,neutral,resolved,2025-02-28T12:00:00
TICK-000204,CUST-00821,order_inquiry,Where is order ORD-001408? It's later than the estimate I was given.,negative,resolved,2025-07-05T02:00:00
TICK-000205,CUST-00447,policy_question,"My order arrived 5 days ago but it's damaged, can I still get a refund?",neutral,open,2025-07-22T09:00:00
TICK-000206,CUST-00342,return_request,"Wrong size arrived, can I exchange it instead of a full return?",neutral,open,2025-02-28T16:00:00
TICK-000207,CUST-00360,policy_question,What's the process for a refund on a final-sale item that arrived broken?,neutral,open,2025-02-22T04:00:00
TICK-000208,CUST-00157,order_inquiry,Can someone tell me what's happening with order ORD-004935?,negative,open,2025-04-01T20:00:00
TICK-000209,CUST-00779,policy_question,How long does a refund actually take to process once approved?,neutral,resolved,2025-06-11T04:00:00
TICK-000210,CUST-00453,policy_question,What counts as eligible for a late-delivery refund?,neutral,resolved,2025-01-29T11:00:00
TICK-000211,CUST-00473,policy_question,Is expedited shipping refundable if the delivery is late anyway?,neutral,open,2025-01-30T11:00:00
TICK-000212,CUST-00661,return_request,"This arrived damaged, the box was crushed and the product inside is cracked.",neutral,resolved,2025-08-25T18:00:00
TICK-000213,CUST-00461,retention_risk,"This is the third time an order has been late, I'm thinking about cancelling my account.",negative,resolved,2025-09-01T16:00:00
TICK-000214,CUST-00106,order_inquiry,My package was supposed to arrive 10 days ago and I still haven't received it.,neutral,open,2025-09-16T20:00:00
TICK-000215,CUST-00450,order_inquiry,I placed this order almost 10 days ago. Is it still in transit?,negative,open,2025-07-06T11:00:00
TICK-000216,CUST-00419,escalation,"This has gone on too long, please escalate this to a supervisor.",very_negative,open,2025-06-21T02:00:00
TICK-000217,CUST-00695,policy_question,Are digital or downloadable products ever returnable?,neutral,resolved,2025-05-10T23:00:00
TICK-000218,CUST-00895,return_request,"This isn't what was pictured on the product page, requesting a return.",neutral,resolved,2025-02-11T18:00:00
TICK-000219,CUST-00318,retention_risk,"Between the delays and the return hassle, I'm reconsidering my subscription.",very_negative,open,2025-02-13T09:00:00
TICK-000220,CUST-00833,retention_risk,"Between the delays and the return hassle, I'm reconsidering my subscription.",negative,open,2025-08-05T16:00:00
TICK-000221,CUST-00317,policy_question,What's the process for a refund on a final-sale item that arrived broken?,neutral,open,2025-06-24T15:00:00
TICK-000222,CUST-00080,order_inquiry,Can someone tell me what's happening with order ORD-001270?,neutral,open,2025-09-17T17:00:00
TICK-000223,CUST-00039,return_request,"I ordered the wrong color by mistake, is exchange possible at this point?",negative,open,2025-07-12T04:00:00
TICK-000224,CUST-00829,order_inquiry,"Order ORD-006317 shows 'processing' for 14 days now, is that normal?",neutral,resolved,2025-01-23T13:00:00
TICK-000225,CUST-00993,policy_question,Do premium members get extended return windows?,neutral,resolved,2025-08-18T07:00:00
